Name,Council,Ward,Headline,Description,DatePublished,Url,MediaOutlet,Descriptor
Harrison Allman-Varty,Elmbridge,Oatlands and Burwood Park,Harrison Allman-Varty - ELMBRIDGE BOROUGH COUNCIL - The Org,This person is not in the org chart. Teams. This person is not in any teams. Offices. This person is not in any offices. Related people.,,https://theorg.com/org/elmbridge-borough-council/org-chart/harrison-allman-varty,,"The provided text is a factual report listing various council entities that Harrison Allman-Varty is associated with, without expressing any positive or negative sentiment towards him."
Jaymey McIvor,Essex,Ongar and Rural,Bankrupt Firm of Reform UK's Waste-Busting Local Government ...,EXCLUSIVE: Cllr Jaymey McIvor declared his company insolvent months before becoming party's director tasked with stamping out council waste.,"Aug 12, 2025",https://bylinetimes.com/2025/08/12/bankrupt-firm-of-reform-uks-waste-busting-local-government-chief-owes-taxpayer-36000/,,"The text presents a factual report about Cllr Jaymey McIvor's company going into liquidation and outstanding debts, including a Covid Bounce Back Loan. It details his political career, allegations of misconduct, and current role within Reform UK. The tone remains neutral and informative, focusing on presenting facts rather than expressing personal opinion or sentiment towards McIvor."
Caroline Gladwin,Isle of Wight,Central Rural,Questions asked of Isle of Wight housing councillor,Reform UK's new Central Rural representative Caroline Gladwin was the subject of a member question directed at committee chair Cllr Clare ...,"Jul 18, 2025",https://www.countypress.co.uk/news/25325316.questions-asked-isle-wight-housing-councillor/,,"The text discusses Caroline Gladwin facing criticism and warnings from the Isle of Wight Council due to the poor condition of a rental property she owns, described as having damp, mould, rotting timbers, exposed wiring, and a front door without a working lock. A councillor mentioned her as a 'rogue landlord' and expressed concern over her continued membership on a housing needs committee given the evidence of letting an unfit property. Additionally, another councillor highlighted a family facing eviction from another property owned by Gladwin, described as being in an 'appalling state'. These details suggest a strongly negative sentiment towards Caroline Gladwin."
Oliver Freeston,North East Lincolnshire,Croft Baker,North East Lincolnshire local election: The 4 candidates in Croft Baker,"4 candidates stood in the Croft Baker ward. Turnout, 33%. Oliver Freeston. Elected. Conservative and Unionist Party 1,340 votes. Photo of Oliver Freeston ...",,https://whocanivotefor.co.uk/elections/local.north-east-lincolnshire.croft-baker.2018-05-03/,,"The text provides factual information about an election held in the Croft Baker ward, detailing the candidates, their respective votes, and future election dates. There is no expressed opinion or sentiment regarding Oliver Freeston or any individual; instead, it focuses on delivering neutral election data and organizational details. The mention of Democracy Club, a UK-based CIC, implies an informational purpose rather than personal endorsement."
Alan Benson,Thurrock,Ockendon,Thurrock Council - 83% Councillor Attendance | Local Democracy UK,"Thurrock Council councillors have 83% overall attendance across 49 councillors. View detailed attendance statistics, party rankings, and individual ...",,https://www.local-democracy.uk/thurrock,,"The text describes an unofficial data scraping service aimed at promoting transparency in local government. It mentions Alan Benson's role as the builder of this service, focusing on its positive purpose and implying strong support or admiration for his initiative."
Andrew Baldwin,West Sussex,Holbrook,Political recall efforts - Ballotpedia,Recalls are the process by which an elected official can be removed from office via a public vote before their term is completed. If you are aware of a current ...,,https://ballotpedia.org/Political_recall_efforts,,"The text provides a factual report on political recall efforts in the United States from 2010 to 2025, covering various statistics without expressing any personal opinion or sentiment towards Andrew Baldwin. It focuses on data aggregation regarding recall efforts across different states and office types, success rates, and state-wise participation. Since the content is informational and devoid of sentiment or endorsement towards a specific individual, the sentiment score is neutral (0)."
Trevor Bence,West Sussex,Fontwell,Planning Application WSCC/020/21/S257,"Location: Land to the north of Eastergate and north-west of Barnham, PO22 0DF. Proposal: Proposed diversion of Public Footpath 318 at land to the north of ...",,https://westsussex.planning-register.co.uk/Planning/Display/WSCC/020/21/S257,,"The text is a factual report providing instructions on accessing and using data under specific licensing terms from West Sussex County Council. It does not express any positive or negative sentiment towards Trevor Bence, as there is no mention of him."
Sharon Collings,Havant,Leigh Park Central & West Leigh,Party Totals Archive 2016-25 - Open Council Data UK,"Sharon Collings, Havant, Leigh Park Central & West Leigh, 07-05-2026. Vicky Rhodes, Havant, Leigh Park Hermitage, 07-05-2026. Caren Diamond, Havant, Purbrook ...",,https://opencouncildata.co.uk/councillors.php?p=459&y=0,,"The text is a factual report stating the number of seats held by Reform UK, with no positive or negative sentiment expressed towards Sharon Collings."
Caroline Gladwin,Isle of Wight,Central Rural,"Housing Committee Councillor Criticised For ""Letting Unfit Properties""","At Wednesday evening's full council meeting, Reform UK's new Central Rural representative Caroline Gladwin was the subject of a member ...","Jul 21, 2025",https://www.iwradio.co.uk/news-post/housing-committee-councillor-criticised-for-letting-unfit-properties,,"The text describes Caroline Gladwin being criticized and facing allegations of being a 'rogue landlord' due to the poor conditions of her rented flat. These conditions include damp, mould, rotting timbers, exposed wiring, and a front door without a working lock. She received warning notices from the Isle of Wight Council regarding these issues under the Housing Act. A councillor, Karl Love, also mentioned another property owned by Gladwin being in an 'appalling state'. Although Gladwin endorsed her response to the criticism, the overall context presents a highly negative portrayal of her actions and properties."
Christopher Hudson,Suffolk,Belstead Brook,Suffolk County Council local election: The 5 candidates in Belstead ...,Belstead Brook division. About this election. This is an election for county councillors. Councillors represent the people of their division on the council.,,https://whocanivotefor.co.uk/elections/local.suffolk.belstead-brook.2017-05-04/belstead-brook/,,"The text is a factual report detailing the process and outcomes of an election for county councillors. It provides information about the roles, responsibilities, and funding of county councils, as well as specific results from the Belstead Brook division. There are no positive or negative sentiments expressed towards any individual, including Christopher Hudson, as there is no mention of him or his involvement in this particular election."
Christopher Hudson,Suffolk,Belstead Brook,Councillor dropped from Tory candidates list after another clash with ...,Controversial Conservative councillor Christopher Hudson has been dropped by his party in the run-up to May's local elections â€“ he will not ...,"Feb 13, 2019",https://www.eadt.co.uk/news/21442898.councillor-dropped-tory-candidates-list-another-clash-party/,,"The text describes Christopher Hudson as a controversial figure due to frequent clashes with colleagues over planning issues and past reprimands for bullying behavior. However, it also notes his election victories despite being deselected initially, suggesting resilience. He has been dropped by his party ahead of local elections but still considers standing as an independent candidate in another ward. While the text presents several negative aspects of his conduct and political situation, it does not explicitly condemn him, indicating a less intense negative sentiment."
Andrew Baldwin,West Sussex,Holbrook,Horsham councillor sorry for Bognor 'old banger' jibe - BBC News,"Bognor Regis attractions included sunshine, the beach and a Butlins resort, the town's mayor said. A Sussex councillor has said sorry to the …","Oct 26, 2011",https://www.bbc.com/news/uk-england-sussex-15458267,,"The text describes a controversial statement made by Horsham councillor Andrew Baldwin, who compared Bognor Regis unfavorably to Horsham using terms like 'clapped-out old banger' and 'dump'. The mayor of Bognor Regis, Jim Brooks, expressed strong disapproval and described the remark as rude. Although Baldwin later apologized for his remarks made in the heat of a debate, the initial negative sentiment is evident from both the content of his comments and the mayor's reaction."
Andrew Baldwin,West Sussex,Holbrook,Party Totals Archive 2016-25 - Open Council Data UK,"Names, parties and wards of all UK councillors, up-to-date, free to access. Stakeholder communication and campaign datasets with councillor emails and roles ...",,https://opencouncildata.co.uk/councillors.php?p=459&y=0,,"The text is a factual report providing information about the current seat holdings of Reform UK, and it includes details about the source, Lawson Data Services Ltd. There are no positive or negative sentiments expressed towards any individual, including Andrew Baldwin."
